ID,taxonID,kingdom,phylum,class,order,family,genus,scientificName,taxonRank,vernacularName
586849,586849,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Neotelphusa,Neotelphusa praefixa,species,
589110,589110,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Xenolechia,Xenolechia aethiops,species,
574539,574539,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia alnivorella,species,
571929,571929,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Parornix,Parornix obliterella,species,
632315,632315,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Crypteffigies,Crypteffigies confusus,species,
629544,629544,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Hadrodactylus,Hadrodactylus seldoviae,species,
629488,629488,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Helictes,Helictes borealis,species,
627290,627290,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Lissonota,Lissonota sexcincta,species,
624793,624793,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Megastylus,Megastylus orbitator,species,
629895,629895,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Mesochorus,Mesochorus prolatus,species,
625089,625089,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Opheltes,Opheltes glaucopterus,species,
625085,625085,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Ophion,Ophion bilineatus,species,
624076,624076,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Oxyrrhexis,Oxyrrhexis carbonator,species,
624046,624046,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Pantorhaestes,Pantorhaestes xanthostomus,species,
623836,623836,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Plectiscidea,Plectiscidea venusta,species,
623784,623784,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Polyaulon,Polyaulon canadensis,species,
622058,622058,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Proclitus,Proclitus paganus,species,
1215807,1215807,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Corticarina,"Corticarina minuta (Fabricius, 1792)",species,
559854,559854,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Enicmus,Enicmus mimus,species,
1215808,1215808,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Stephostethus,"Stephostethus armatulus (Fall, 1899)",species,
559153,559153,Animalia,Arthropoda,Insecta,Coleoptera,Latridiidae,Stephostethus,Stephostethus liratus,species,
746351,746351,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Metalimnobia,Metalimnobia cinctipes,species,
597696,597696,Animalia,Arthropoda,Insecta,Diptera,Micropezidae,Cnodacophora,Cnodacophora nasoni,species,
582136,582136,Animalia,Arthropoda,Insecta,Lepidoptera,Momphidae,Mompha,Mompha conturbatella,species,
581546,581546,Animalia,Arthropoda,Insecta,Lepidoptera,Momphidae,Mompha,Mompha sexstrigella,species,
640870,640870,Animalia,Arthropoda,Insecta,Psocodea,Philopteridae,Ornithobius,Ornithobius waterstoni,species,
583346,583346,Animalia,Arthropoda,Insecta,Lepidoptera,Plutellidae,Rhigognostis,Rhigognostis interrupta,species,
653909,653909,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Aphalara,Aphalara nubifera,species,
656887,656887,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Cacopsylla,Cacopsylla myrtilli,species,
656919,656919,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Cacopsylla,Cacopsylla rara,species,
653989,653989,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Craspedolepta,Craspedolepta nebulosa,species,
654010,654010,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Craspedolepta,Craspedolepta schwarzi,species,
654994,654994,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Craspedolepta,Craspedolepta subpunctata,species,
601180,601180,Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Dinotiscus,Dinotiscus eupterus,species,
598368,598368,Animalia,Arthropoda,Insecta,Hymenoptera,Pteromalidae,Mesopolobus,Mesopolobus verditer,species,
582445,582445,Animalia,Arthropoda,Insecta,Lepidoptera,Pterophoridae,Amblyptilia,Amblyptilia pica,species,
572403,572403,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Gesneria,Gesneria centuriella,species,
567190,567190,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Udea,Udea washingtonalis,species,
569120,569120,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Albuna,Albuna pyramidalis,species,
535059,535059,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Acidota,Acidota quadratum,species,
1215810,1215810,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Dinaraea,"Dinaraea pacei Klimaszewski & Langor, 2011",species,
534770,534770,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Eucnecosum,Eucnecosum brachypterum,species,
530285,530285,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Olisthaerus,Olisthaerus megacephalus,species,
527702,527702,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tachinus,Tachinus quebecensis,species,
525485,525485,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Upis,Upis ceramboides,species,
617939,617939,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Amauronematus,Amauronematus fallax,species,
622334,622334,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Dolerus,Dolerus elderi,species,
622318,622318,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Dolerus,Dolerus gessneri,species,
622316,622316,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Dolerus,Dolerus gilvipes,species,
