"transferred_to_FWSpecies_date","transfer_notes","Valid_in_Gbif_refuge_YY_NN_","Found_in_FWSpecies_Y_N_","Category","Scientific_Name","rank","Origin","authority","TSN","accepted_tsn","accepted_latin","duplicate","usage","unaccept_reason","comments","vernacularName","dateFirstObserved","extirpated","inaturalistobs","arctosGUID","notes_distribution","notes_taxonomic","notes_biology","kingdom","division","phylum","class","Order","suborder","Family","subfamily","genus","evidence_URL"
"","No URL reference","YY","Y","Birds","Onychoprion aleuticus","Species","Native","S. F. Baird, 1869","176893","824103","Onychoprion aleuticus",NA,"invalid","original name/combination","Headquarters Lake July '06","Aleutian tern",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Charadriiformes","","Laridae","","Onychoprion",NA
"","No URL reference","YY","Y","Birds","Tringa incana","Species","Native","(Gmelin, 1789)","176635","176630","Tringa incana",NA,"invalid","subsequent name/combination","","Wandering tattler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Charadriiformes","","Scolopacidae","","Tringa",NA
"","No URL reference","YY","Y","Birds","Spizelloides arborea","Species","Native","(A. Wilson, 1810)","179432","997961","Spizelloides arborea",NA,"invalid","subsequent name/combination","","American tree sparrow",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Emberizidae","","Spizella",NA
"","No URL reference","YY","Y","Birds","Acanthis flammea","Species","Native","(Linnaeus, 1758)","179230","179241","Acanthis flammea",NA,"invalid","subsequent name/combination","","Common redpoll",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Fringillidae","Carduelinae","Carduelis",NA
"","No URL reference","YY","Y","Birds","Spinus pinus","Species","Native","(A. Wilson, 1810)","179233","179246","Spinus pinus",NA,"invalid","subsequent name/combination","seen on refuge","Pine siskin",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Fringillidae","Carduelinae","Carduelis",NA
"","No URL reference","YY","Y","Birds","Setophaga coronata","Species","Native","(Linnaeus, 1766)","178891","950046","Setophaga coronata",NA,"invalid","subsequent name/combination","","Yellow-rumped warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Dendroica",NA
"","No URL reference","YY","Y","Birds","Setophaga petechia","Species","Native","(Linnaeus, 1766)","178878","950039","Setophaga petechia",NA,"invalid","subsequent name/combination","","Yellow warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Dendroica",NA
"","No URL reference","YY","Y","Birds","Setophaga striata","Species","Native","(J. R. Forster, 1772)","178913","950041","Setophaga striata",NA,"invalid","subsequent name/combination","","Blackpoll warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Dendroica",NA
"","No URL reference","YY","Y","Birds","Setophaga townsendi","Species","Native","(J. K. Townsend, 1837)","178897","950058","Setophaga townsendi",NA,"invalid","subsequent name/combination","","Townsend's warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Dendroica",NA
"","No URL reference","YY","Y","Birds","Parkesia noveboracensis","Species","Native","(J. F. Gmelin, 1789)","178931","950010","Parkesia noveboracensis",NA,"invalid","subsequent name/combination","","Northern waterthrush",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Seiurus",NA
"","No URL reference","YY","Y","Birds","Leiothlypis celata","Species","Native","(Say, 1822)","178856","950015","Leiothlypis celata",NA,"invalid","subsequent name/combination","","Orange-crowned warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Vermivora",NA
"","No URL reference","YY","Y","Birds","Cardellina pusilla","Species","Native","(A. Wilson, 1811)","178973","950080","Cardellina pusilla",NA,"invalid","subsequent name/combination","","Wilson's warbler",NA,NA,NA,"","","","","Animalia","","Chordata","Aves","Passeriformes","","Parulidae","","Wilsonia",NA
"","","YN","N","Chromista","Amphitrema wrightianum","Species","Native","","-619983",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Chromista","","Cercozoa","Thecofilosea","Tectofilosida","","Amphitremidae","","Amphitrema",NA
"","","YY","N","Chromista","Cymbopleura inaequalis","Species","Native","","-700008",NA,"",NA,"","","","",NA,NA,NA,"","","","","Chromista","","Heterokonta","Bacillariophyceae","Cymbellales","","Cymbellaceae","","Cymbopleura",NA
"","","YY","N","Chromista","Pseudostaurosira robusta","Species","Native","","-700007",NA,"",NA,"","","","",NA,NA,NA,"","","","","Chromista","","Heterokonta","Bacillariophyceae","Fragilariales","","Fragilariaceae","","Pseudostaurosira",NA
"","","YY","N","Chromista","Surirella grunowii","Species","Native","","-700009",NA,"",NA,"","","","",NA,NA,NA,"","","","","Chromista","","Heterokonta","Bacillariophyceae","Surirellales","","Surirellaceae","","Surirella",NA
"","","N?","N","Chromista","Archerella flavum","Species","Native","","-619977",NA,"",NA,"invalid","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Chromista","","Heterokonta","Labyrinthulomycetes","Labyrinthulomycetes","","Amphitraemidae","","Archerella",NA
"","","YN","Y","Fish","Entosphenus tridentatus","Species","Native","(Richardson, 1836)","159713","159699","Entosphenus tridentatus",NA,"invalid","subsequent name/combination","","Pacific lamprey",NA,NA,NA,"","","","","Animalia","","Chordata","Cephalaspidomorphi","Petromyzontiformes","","Petromyzontidae","","Entosphenus",NA
"","","YN","Y","Fish","Lampetra camtschatica","Species","Native","","-617902",NA,"",NA,"invalid","not reviewed, USFWS record","","Arctic lamprey",NA,NA,NA,"","","","","Animalia","","Chordata","Cephalaspidomorphi","Petromyzontiformes","","Petromyzontidae","","Lampetra",NA
"","","YY","N","Fungi","Diplodia tumefaciens","Species","Native","(Shear) Zalasky","-620049",NA,"",NA,"not accepted","not reviewed, USFWS record","","Branch gall canker of poplar",NA,NA,NA,"","","","","Fungi","Ascomycota","","Dothideomycetes","Botryosphaeriales","","Botryosphaeriaceae","","Diplodia",NA
"","","YY","N","Fungi","Gemmamyces piceae","Species","Native","","-700011",NA,"",NA,"","","","Spruce bud blight",NA,NA,NA,"","","","","Fungi","Ascomycota","","Dothideomycetes","Pleosporales","","Cucurbitariaceae","","Gemmamyces",NA
"","","","","Fungi","Spathularia sp.","Species","Native","","-620077",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Leotiomycetes","Rhytismatales","","Cudoniaceae","","Spathularia",NA
"","","YY","N","Fungi","Rhytisma arbuti","Species","Native","W. Phillips","-620133",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","This is a tar spot fungus on \itaxon{Menziesia!ferruginea} \citep{Glawe2016}.","Fungi","Ascomycota","","Leotiomycetes","Rhytismatales","","Rhytismataceae","","Rhytisma",NA
"","","YN","N","Fungi","Valsa melanodiscus","Species","Native","","-620036",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Sordariomycetes","Diaporthales","","Valsaceae","","Valsa",NA
"","","YN","Y","Fungi","Bovista plumbea","Species","Native","Pers.","-619961",NA,"",NA,"not accepted","not reviewed, USFWS record","","Lead-grey Puffball",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Agaricaceae","","Bovista",NA
"","","YN","Y","Fungi","Coprinus comatus","Species","Native","(Muller: Fries) S.F. Gray","-619951",NA,"",NA,"not accepted","not reviewed, USFWS record","","Shaggy mane",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Agaricaceae","","Coprinus",NA
"","","YN","Y","Fungi","Phaeolepiota aurea","Species","Native","","-619949",NA,"",NA,"not accepted","not reviewed, USFWS record","","Alaskan gold",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Agaricaceae","","Phaeolepiota",NA
"","","YN","Y","Fungi","Lycoperdon pyriforme","Species","Native","Schaeff.","-619958",NA,"",NA,"not accepted","not reviewed, USFWS record","","stump puffball",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Lycoperdaceae","","Lycoperdon",NA
"","","YN","Y","Fungi","Russula emetica","Species","Native","(Schaeff.)","-619959",NA,"",NA,"not accepted","not reviewed, USFWS record",""," The Sickener ",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Russulaceae","","Russula",NA
"","","","","Fungi","Typhula sp.","Species","Native","","-620075",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Agaricales","","Typhulaceae","","Typhula",NA
"","","YN","Y","Fungi","Piptoporus betulinus","Species","Native","(Bull. ex Fr.) P. Karst.","-620125",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Polyporales","","Fomitopsidaceae","","Piptoporus",NA
"","","YN","Y","Fungi","Sarcodon imbricatus","Species","Native","(L.) P. Karst.","-619314",NA,"",NA,"not accepted","not reviewed, USFWS record","","Scaly hedgehog",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Agaricomycetes","Thelephorales","","Bankeraceae","","Sarcodon",NA
"","","YN","Y","Fungi","Agaricus campestris","Species","Native","","-619851",NA,"",NA,"not accepted","not reviewed, USFWS record","These grow in the lawn at the visitor center.","Meadow mushroom, field mushroom",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Basidiomycetes","Agaricales","","Agaricaceae","","Agaricus",NA
"","No physical occurrences listed.","YN","Y","Fungi","Agaricus silvicola","Species","Native","","-619850",NA,"",NA,"not accepted","not reviewed, USFWS record","","Wood mushroom",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Basidiomycetes","Agaricales","","Agaricaceae","","Agaricus",NA
"","","YN","Y","Fungi","Lactarius deliciosus","Species","Native","","-619205",NA,"",NA,"not accepted","not reviewed, USFWS record","","saffron milkcap",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Basidiomycetes","Agaricales","","Russulaceae","","Lactarius",NA
"","","YN","Y","Fungi","Boletus edulis","Species","Native","Bull., 1782","-619202",NA,"",NA,"not accepted","not reviewed, USFWS record","","King bolete, cep, porcini",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Basidiomycetes","Boletales","","Boletaceae","","Boletus",NA
"","","YY","N","Fungi","Leccinum alaskanum","Species","Native","Wells & Kempton, 1975","-619858",NA,"",NA,"not accepted","not reviewed, USFWS record","","Alaskan scaber-stalk",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Basidiomycetes","Boletales","","Boletaceae","","Leccinum",NA
"","","YN","N","Fungi","Exobasidium karstenii","Species","Native","Saccardo and Trotter, 1912","-620156",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","This fungus infects \itaxon{Andromeda!polifolia}, resulting in misshapen, reddish shoots \citep{RNv9n27}.","Fungi","Basidiomycota","","Exobasidiomycetes","Exobasidiales","","Exobasidiaceae","","Exobasidium",NA
"","","YY","N","Fungi","Chrysomyxa ledicola","Species","Native","Lagerh.","-619908",NA,"",NA,"not accepted","not reviewed, USFWS record","See {http://peninsulaclarion.com/stories/083107/outdoors_3167.shtml}, {https://redoubtreporter.wordpress.com/2012/08/22/rust-no-fuss-spruce-fungus-blight-not-harmful-to-trees/}.","Spruce Needle Rust",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Pucciniomycetes","Pucciniales","","Coleosporiaceae","","Chrysomyxa",NA
"","","YN","N","Fungi","Chrysomyxa pyrolae","Species","Native","","-620070",NA,"",NA,"not accepted","not reviewed, USFWS record","","inland spruce cone rust",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Pucciniomycetes","Pucciniales","","Coleosporiaceae","","Chrysomyxa",NA
"","","YN","N","Fungi","Phragmidium mucronatum","Species","Native","","-700006",NA,"",NA,"","","","Rose rust",NA,NA,NA,"","","","This rust fungus infects members of the genus <i>Rosa</i>.","Fungi","Basidiomycota","","Pucciniomycetes","Pucciniales","","Phragmidiaceae","","Phragmidium",NA
"","","YN","Y","Fungi","Puccinia linkii","Species","Native","Klotzsch, 1833","-620061",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Pucciniomycetes","Pucciniales","","Pucciniaceae","","Puccinia",NA
"","","YN","N","Fungi","Melampsoridium betulinum","Species","Native","(Pers.) Kleb. 1899","-619944",NA,"",NA,"not accepted","not reviewed, USFWS record","From Steve Swenson on 2.September.2014: We only found Melampsoridium botulinum in one place on the Kenai and that was along the Swanson River Road.""""","Birch Rust",NA,NA,NA,"","This species was observed by Steve Swenson (USDA Forest Service) on September 2, 2014 along Swanson River Road.","","","Fungi","Basidiomycota","","Pucciniomycetes","Pucciniales","","Pucciniastraceae","","Melampsoridium",NA
"","","YY","N","Fungi","Gymnosporangium cornutum","Species","Native","Arthur ex F. Kern, 1911","-619309",NA,"",NA,"not accepted","not reviewed, USFWS record","","Mountain ash juniper rust",NA,NA,NA,"","","","","Fungi","Basidiomycota","","Teliomycetes","Uredinales","","Pucciniaceae","","Gymnosporangium",NA
"","","YN","Y","Fungi","Batrachochytrium dendrobatidis","Species","Native","","-619904",NA,"",NA,"not accepted","not reviewed, USFWS record","","Amphibian Chytrid",NA,NA,NA,"","","","","Fungi","Chytridiomycota","","Chytridiomycetes","Rhizophydiales","","Rhizophydiales Incertae Sedis","","Batrachochytrium",NA
"","","YN","N","Fungi","Phytophthora alni","Species","Native","Brasier & S.A.Kirk","-619905",NA,"",NA,"not accepted","not reviewed, USFWS record","Phytophthora alni subsp. uniformis documented from Hidden Lake outflow.","Alder Phytophthora",NA,NA,NA,"","","","","Fungi","Myxomycota","","Phycomycota","Peronosporales","","Pythiaceae","","Phytophthora",NA
"","","YN","Y","Lichens","Arthonia apatetica","Species","Native","(A. Massal.) Th. Fr.","-607293",NA,"",NA,"not accepted","not reviewed, USFWS record","","dot lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Arthoniomycetes","Arthoniales","","Arthoniaceae","","Arthonia",NA
"","Confirmed (google)","N?","N","Lichens","Arthonia edgewoodensis","Species","Native","","-618573",NA,"",NA,"not accepted","not reviewed, USFWS record","","dot lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Arthoniomycetes","Arthoniales","","Arthoniaceae","","Arthonia",NA
"","","YN","Y","Lichens","Verrucaria acrotella","Species","Native","Ach.","-611250",NA,"",NA,"not accepted","not reviewed, USFWS record","","wart lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Chaetothyriomycetes","Verrucariales","","Verrucariaceae","","Verrucaria",NA
"","Confirmed (google)","NN","N","Lichens","Chaenothecopsis aeruginosa","Species","Native","","-618581",NA,"",NA,"not accepted","not reviewed, USFWS record","","chaenothecopsis lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Eurotiomycetes","Mycocaliciales","","Mycocaliciaceae","","Chaenothecopsis",NA
"","","YN","Y","Lichens","Chaenothecopsis nana","Species","Native","Tibell 1987","-618582",NA,"",NA,"not accepted","not reviewed, USFWS record","","chaenothecopsis lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Eurotiomycetes","Mycocaliciales","","Mycocaliciaceae","","Chaenothecopsis",NA
"","","YN","Y","Lichens","Mycocalicium subtile","Species","Native","(Pers.) Szatala 1925","-618597",NA,"",NA,"not accepted","not reviewed, USFWS record","","mycocalicium lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Eurotiomycetes","Mycocaliciales","","Mycocaliciaceae","","Mycocalicium",NA
"","","YN ","Y","Lichens","Phaeocalicium compressulum","Species","Native","(Nyl. ex Szatala) A. F. W. Schmidt","-610014",NA,"",NA,"not accepted","not reviewed, USFWS record","","phaeocalicium lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Eurotiomycetes","Mycocaliciales","","Mycocaliciaceae","","Phaeocalicium",NA
"","","YN","Y","Lichens","Stenocybe pullatula","Species","Native","(Ach.) Stein 1879","-618614",NA,"",NA,"not accepted","not reviewed, USFWS record","","stenocybe lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Eurotiomycetes","Mycocaliciales","","Mycocaliciaceae","","Stenocybe",NA
"","","YN","Y","Lichens","Placynthiella dasaea","Species","Native","(Stirton) Tønsberg (Tønsberg 1998)","-610181",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Agyriales","Agyriineae","Agyriaceae","","Placynthiella",NA
"","","YN","Y","Lichens","Schaereria corticola","Species","Native","Muhr & Tønsberg","-610723",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Agyriales","Agyriineae","Agyriaceae","","Schaereria",NA
"","","YN","Y","Lichens","Xylographa parallela","Species","Native","(Ach.) Fr. 1849","-618620",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Agyriales","Agyriineae","Agyriaceae","","Xylographa",NA
"","","YN","Y","Lichens","Biatora albohyalina","Species","Native","(Nyl.) Bagl. & Carestia","-611599",NA,"",NA,"not accepted","not reviewed, USFWS record","Synonym is Lecidea albohyalina.","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Bacidiaceae","","Biatora",NA
"","","YN","Y","Lichens","Biatora meiocarpa var. tacomensis","Variety","Native","","-618576",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Bacidiaceae","","Biatora",NA
"","","YN","Y","Lichens","Catinaria neuschildii","Species","Native","(Körb.) P. James 1965","-618579",NA,"",NA,"not accepted","not reviewed, USFWS record","","catinaria lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Bacidiaceae","","Catinaria",NA
"","","YN","Y","Lichens","Baeomyces placophyllus","Species","Native","Ach.","-607681",NA,"",NA,"not accepted","not reviewed, USFWS record","","cap lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","","Baeomycetaceae","","Baeomyces",NA
"","","YN","Y","Lichens","Calicium adaequatum","Species","Native","Nyl.","-607846",NA,"",NA,"not accepted","not reviewed, USFWS record","USDA Plants scientific name spelling is Calicium adequatum Nyl.","adequate spike lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Caliciaceae","","Calicium",NA
"","","YN","Y","Lichens","Calicium lenticulare","Species","Native","Ach.","-607852",NA,"",NA,"not accepted","not reviewed, USFWS record","","spike lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Caliciaceae","","Calicium",NA
"","","YN","Y","Lichens","Cladina arbuscula","Species","Native","(Wallr.) Hale & Culb.","-608153",NA,"",NA,"not accepted","not reviewed, USFWS record","","Reindeer lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladina",NA
"","","YN","Y","Lichens","Cladina ciliata","Species","Native","(Stirton) Trass var. ciliata","-600354",NA,"",NA,"not accepted","not reviewed, USFWS record","","ciliate reindeer lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladina",NA
"","?Spelled 'Cladonia ciliata var. ciliata' (google)","N?","Y","Lichens","Cladina ciliata ciliata","Variety","Native","","-608155",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladina",NA
"","","YN","Y","Lichens","Cladina portentosa","Species","Native","(Dufour) Follmann","-608160",NA,"",NA,"not accepted","not reviewed, USFWS record","","reindeer lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladina",NA
"","Spelled 'Cladonia stellaris' (google). Also a Cladina stellaris on the list (entered).","YY","Y","Lichens","Cladina stellaris aberrans","Variety","Native","(Abbayes) Ahti","-608167",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladina",NA
"","","YN","Y","Lichens","Cladonia norvegica","Species","Native","Tønsberg & Holien","-608262",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladonia",NA
"","","YN","Y","Lichens","Cladonia phyllophora","Species","Native","Hoffm.","-608271",NA,"",NA,"not accepted","not reviewed, USFWS record","","cup lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Cladoniaceae","","Cladonia",NA
"","","YN","N","Lichens","Lecanora phaeostigma","Species","Native","","-618587",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecanoraceae","","Lecanora",NA
"","","YN","N","Lichens","Lecanora schizochromatica","Species","Native","","-618588",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecanoraceae","","Lecanora",NA
"","Only found name in one study (google)","NN","N","Lichens","Pycnora elachista","Species","Native","","-618606",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecanoraceae","","Pycnora",NA
"","","YN","Y","Lichens","Pycnora leucococca","Species","Native","(Vain.) R. Sant. 2004","-618607",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecanoraceae","","Pycnora",NA
"","","YN","N","Lichens","Scoliciosporum perpusillum","Species","Native","","-618613",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecanoraceae","","Scoliciosporum",NA
"","No physical occurrences listed.","YN","Y","Lichens","Lecidea amaurospoda","Species","Native","(Anzi) Vainio","-609120",NA,"",NA,"not accepted","not reviewed, USFWS record","Lecidea pullata is synonym.","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecideaceae","","Lecidea",NA
"","","YN","N","Lichens","Lecidea rubrocastanea","Species","Native","","-618589",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Lecideaceae","","Lecidea",NA
"","Not found. 'Megalospora verruculosa' and 'Megaspora verrucosa' closest (lichenportal.org). Both in AK, neither in refuge (Gbif). Megaspora found in FWSp.","YN","Y","Lichens","Megalaria verrucosa","Species","Native","","-618591",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Megalariaceae","","Megalaria",NA
"","","YN","Y","Lichens","Micarea denigrata","Species","Native","(Fr.) Hedl.","-609531",NA,"",NA,"not accepted","not reviewed, USFWS record","","dot lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Micareaceae","","Micarea",NA
"","","YN","N","Lichens","Micarea viridileprosa","Species","Native","Coppins & Van den Boom 2001","-618594",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Micareaceae","","Micarea",NA
"","","YN","Y","Lichens","Ophioparma ventosa","Species","Native","(L.) Norman (May 1997)","-609792",NA,"",NA,"not accepted","not reviewed, USFWS record","","dot lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Ophioparmaceae","","Ophioparma",NA
"","","YN","Y","Lichens","Fuscopannaria confusa","Species","Native","(P. M. Jørg.) P. M. Jørg. (Jørgensen 2000b)","-608601",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Pannariaceae","","Fuscopannaria",NA
"","","YN","Y","Lichens","Arctoparmelia incurva","Species","Native","(Pers.) Hale","-607285",NA,"",NA,"not accepted","not reviewed, USFWS record","","arctoparmelia lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Arctoparmelia",NA
"","","YN","Y","Lichens","Arctoparmelia separata","Species","Native","(Th. Fr.) Hale","-607286",NA,"",NA,"not accepted","not reviewed, USFWS record","","arctoparmelia lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Arctoparmelia",NA
"","","YN","Y","Lichens","Cetraria aculeata","Species","Native","(Schreber) Fr.","-608078",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Cetraria",NA
"","","YN","Y","Lichens","Hypogymnia apinnata","Species","Native","Goward & McCune","-608802",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Hypogymnia",NA
"","","YN","Y","Lichens","Hypogymnia canadensis","Species","Native","","-618584",NA,"",NA,"not accepted","not reviewed, USFWS record","","Pacific tube lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Hypogymnia",NA
"","Not found outside of P. James, Aptroot study. 'Menegazzia dissoluta' is closest (google). ","YN","N","Lichens","Hypogymnia dissoluta","Species","Native","","-618585",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Hypogymnia",NA
"","","YN","Y","Lichens","Melanelia exasperatula","Species","Native","(Nyl.) Essl.","-609484",NA,"",NA,"not accepted","not reviewed, USFWS record","","melanelia lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Melanelia",NA
"","","YN","Y","Lichens","Melanelia septentrionalis","Species","Native","(Lynge) Essl.","-609495",NA,"",NA,"not accepted","not reviewed, USFWS record","","melanelia lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Melanelia",NA
"","","YN","Y","Lichens","Melanelia trabeculata","Species","Native","(Ahti) Essl.","-609503",NA,"",NA,"not accepted","not reviewed, USFWS record","","melanelia lichen",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Melanelia",NA
"","","YN","N","Lichens","Parmelia marginalis","Species","Native","","-618598",NA,"",NA,"not accepted","not reviewed, USFWS record","","",NA,NA,NA,"","","","","Fungi","Ascomycota","","Lecanoromycetes","Lecanorales","Lecanorineae","Parmeliaceae","","Parmelia",NA
