Region,Refuge Code,Refuge Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Refuge Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Origin,Origin Tags,Abundance,FWS Tags,Refuge Tags,Internal Refuge Tags,ExternalLinks,State Status
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93287,180550,Active,Gulo,Wolverines,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93288,180551,Active,Gulo gulo,Wolverine,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93284,180548,Active,Lontra,River otters,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93285,180549,Active,Lontra canadensis,Northern river otter,Lutra canadensis,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93295,180558,Active,Martes,Martens,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93296,180559,Active,Martes americana,American marten,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,https://doi.org/10.1093/jmammal/gyx011,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93289,180552,Active,Mustela,Weasels,Grammogale,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,93281,180545,Active,Mustelidae,Mustelids,Mustilidae,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Mustelidae,629081,726284,Active,Neovison vison,American mink,Mustela vison,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Phocidae,93396,180649,Active,Phoca vitulina,Harbor seal,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Ursidae,93276,180540,Active,Ursidae,Bear,Ursinae,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Ursidae,93277,180541,Active,Ursus,Bear,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,Black bear,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown Bear, Grizzly Bear",,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Cetacea,Monodontidae,92554,180483,Active,Delphinapterus leucas,Beluga,Delphinapterus beluga,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Chiroptera,Vespertilionidae,88705,179987,Active,Myotis,Mouse-eared bats,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Chiroptera,Vespertilionidae,88706,179988,Active,Myotis lucifugus,Little brown myotis,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Chiroptera,Vespertilionidae,88704,179986,Active,Vespertilionidae,Vespertilionid bats,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Erinaceomorpha,,594614,709661,Active,Erinaceomorpha,Insectivores,Insectivora,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Lagomorpha,,89630,180105,Active,Lagomorpha,Rabbits,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Lagomorpha,Leporidae,89636,180110,Active,Leporidae,Rabbits,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Lagomorpha,Leporidae,89637,180111,Active,Lepus,Jack rabbits,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Lagomorpha,Leporidae,89638,180112,Active,Lepus americanus,Snowshoe hare,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Lagomorpha,Leporidae,89656,180129,Active,Oryctolagus cuniculus,European rabbit,,Accepted,No,Approved,Present,,Non-native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Primates,Hominidae,89615,180092,Active,Homo sapiens,Human,Homo spelaeus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,,89658,180130,Active,Rodentia,Rodents,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Castoridae,90672,180211,Active,Castor,Beavers,Fiber,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Castoridae,90673,180212,Active,Castor canadensis,American beaver,Castor canadensis belugae,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Castoridae,90671,180210,Active,Castoridae,Beavers,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,90765,180296,Active,Microtus,Meadow voles,Pedomys,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,91699,180309,Active,Microtus miurus,Singing vole,Microtus cantator,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,90767,180298,Active,Microtus oeconomus,Tundra vole,Microtus ratticeps,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,91708,180317,Active,Ondatra,Muskrats,Moschomys,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,91709,180318,Active,Ondatra zibethicus,Muskrat,Castor zibethicus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,91714,180322,Active,Synaptomys,Bog lemmings,Praesynaptomys,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Cricetidae,91715,180323,Active,Synaptomys borealis,Northern bog lemming,Synaptomys bullatus,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Erethizontidae,91791,180392,Active,Erethizon,New world porcupines,Eretizon,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Erethizontidae,91790,180391,Active,Erethizontidae,New world porcupines,Erithizontidae,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Muridae,91756,180360,Active,Muridae,Voles,,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Sciuridae,89664,180136,Active,Marmota,Marmots,Arctomys,Accepted,No,Approved,Present,,Native,,Unknown,Seasonal Occurrence Uncertain,,,,
"Alaska Region, Region 7",FF07RKNA00,Kenai National Wildlife Refuge,Mammal,1,Rodentia,Sciuridae,89667,180139,Active,Marmota caligata,hoary marmot,,Accepted,No,Approved,Present,,Native,,,,,,"http://arctos.database.museum/guid/UAM:Mamm:101919, http://arctos.database.museum/guid/UAM:Mamm:86414, http://arctos.database.museum/guid/UWBM:Mamm:39667, http://arctos.database.museum/guid/UWBM:Mamm:82390",
