ID	locality	occurrenceStatus	establishmentMeans	source	countryCode	locationID
1040	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:6800	US	GADM:Kenai Peninsula
10420	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Ento:4010	US	GADM:Kenai Peninsula
10420	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:150444	US	GADM:Kenai Peninsula
104275	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:8849	US	GADM:Kenai Peninsula
104275	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9089	US	GADM:Kenai Peninsula
104422	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9018	US	GADM:Kenai Peninsula
104429	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9019	US	GADM:Kenai Peninsula
104434	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9020	US	GADM:Kenai Peninsula
104434	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/115176	US	GADM:Kenai Peninsula
104437	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9021	US	GADM:Kenai Peninsula
104480	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9049	US	GADM:Kenai Peninsula
104491	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9064	US	GADM:Kenai Peninsula
104492	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:8852	US	GADM:Kenai Peninsula
104512	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9092	US	GADM:Kenai Peninsula
104524	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9012	US	GADM:Kenai Peninsula
1052	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAMObs:Ento:241042	US	GADM:Kenai Peninsula
105317	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/KNWR:Herb:9066	US	GADM:Kenai Peninsula
105864	Kenai National Wildlife Refuge	present	native	http://www.inaturalist.org/observations/117206	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111644	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111749	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111750	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111751	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111752	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111753	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111754	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111755	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111756	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111757	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111758	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111760	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111761	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111762	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111763	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111764	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111765	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111766	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111767	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111768	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111769	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111770	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111771	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111772	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111774	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111775	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111776	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111777	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111778	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111779	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111781	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111782	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111783	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111785	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111786	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111787	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111788	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111789	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111790	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111791	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111793	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111794	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111795	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111796	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111797	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111798	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111799	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111801	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111802	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111803	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111804	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111805	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111806	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111807	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111808	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111809	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111810	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111811	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111812	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111813	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111814	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111815	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111816	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111817	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111818	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111819	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111820	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111821	US	GADM:Kenai Peninsula
10759	Kenai National Wildlife Refuge	present	native	http://arctos.database.museum/guid/UAM:Ento:111822	US	GADM:Kenai Peninsula
