ID	taxonID	kingdom	phylum	class	order	family	scientificName	taxonRank
812768	812768	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Pardosa diuturna Fox, 1937	species
812819	812819	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Pardosa groenlandica (Thorell, 1872)	species
813549	813549	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Pardosa xerampelina (Keyserling, 1877)	species
808634	808634	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Trochosa terricola Thorell, 1856	species
790459	790459	Animalia	Arthropoda	Arachnida	Araneae	Philodromidae	Philodromus rufus Walckenaer, 1826	species
780797	780797	Animalia	Arthropoda	Arachnida	Araneae	Philodromidae	Tibellus maritimus (Menge, 1875)	species
799100	799100	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes triton (Walckenaer, 1837)	species
797038	797038	Animalia	Arthropoda	Arachnida	Araneae	Salticidae	Evarcha proszynskii Marusik & Logunov, 1998	species
811366	811366	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha extensa (Linnaeus, 1758)	species
811430	811430	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha laboriosa Hentz, 1850	species
826716	826716	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Canalidion montanum (Emerton, 1882)	species
820268	820268	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Enoplognatha intrepida (Sorensen, 1898)	species
803673	803673	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Ohlertidion ohlerti (Thorell, 1870)	species
805914	805914	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Robertus crosbyi (Kaston, 1946)	species
806087	806087	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Rugathodes aurantius (Emerton, 1915)	species
807487	807487	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Steatoda borealis (Hentz, 1850)	species
812201	812201	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Theridion pictum (Walckenaer, 1802)	species
799630	799630	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Bassaniana utahensis (Gertsch, 1932)	species
792696	792696	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae	Misumena vatia (Clerck, 1757)	species
1030866	1030866	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Leptobunus borealis Banks, 1899	species
1030892	1030892	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Mitopus morio (Fabricus, 1779)	species
1030911	1030911	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae	Phalangium opilio Linnaeus, 1758	species
1030928	1030928	Animalia	Arthropoda	Arachnida	Opiliones	Sabaconidae	Sabacon occidentalis (Banks, 1894)	species
1030895	1030895	Animalia	Arthropoda	Arachnida	Opiliones	Sclerosomatidae	Nelima paessleri (Roewer, 1910)	species
718886	718886	Animalia	Arthropoda	Arachnida	Pseudoscorpiones	Neobisiidae	Halobisium occidentale Beier, 1931	species
112104	112104	Animalia	Arthropoda	Arachnida	Pseudoscorpiones	Neobisiidae	Microbisium brunneum (Hagen, 1868)	species
657641	657641	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Eremaeidae	Eremaeus translamellatus Hammer, 1952	species
653523	653523	Animalia	Arthropoda	Arachnida	Sarcoptiformes	Nothridae	Nothrus borussicus Sellnick, 1928	species
1127770	1127770	Animalia	Arthropoda	Arachnida	Trombidiformes	Demodecidae		species
716763	716763	Animalia	Arthropoda	Branchiopoda	Diplostraca	Bosminidae	Bosmina longirostris (O. F. Müller, 1776)	species
718121	718121	Animalia	Arthropoda	Branchiopoda	Diplostraca	Chydoridae	Eurycercus longirostris Hann, 1982	species
716706	716706	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia longiremis G. O. Sars, 1861	species
716723	716723	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Simocephalus serrulatus (Koch, 1841)	species
1186269	1186269	Animalia	Arthropoda	Chilopoda	Geophilomorpha	Geophilidae	Strigamia chionophila Wood, 1862	species
1181896	1181896	Animalia	Arthropoda	Chilopoda	Lithobiomorpha	Lithobiidae	Lithobius stejnegeri (Bollman, 1893)	species
756293	756293	Animalia	Arthropoda	Collembola	Collembola	Entomobryidae	Entomobrya nivalis (Linnaeus, 1758)	species
755763	755763	Animalia	Arthropoda	Collembola	Collembola	Isotomidae	Weberacantha octa Christiansen, 1951	species
